sequence	layer	kind	name
1	state	datatype	scheduler_linear_phase
2	state	record	concurrent_scheduler_state
3	state	fun	saved_mask_stack_wf
4	state	definition	ConcurrentTaskDomainWF
5	state	definition	AllocatedTaskObservationRel
6	state	definition	concurrent_control_wf
7	state	definition	environment_window_open
8	state	definition	program_region_protected
9	state	definition	stable_linear_phase
10	state	definition	concurrent_phase_wf
11	state	definition	concurrent_state_wf
12	state	lemma	open_iff_not_protected
13	state	lemma	concurrent_state_wf_controlD
14	state	lemma	concurrent_state_wf_phaseD
15	state	definition	enqueue_pending_event_abs
16	state	definition	GenericSchedulerViewEq
17	state	lemma	GenericSchedulerViewEq_refl
18	state	lemma	GenericSchedulerViewEq_sym
19	state	lemma	GenericSchedulerViewEq_trans
20	state	lemma	enqueue_pending_event_generic_view
21	state	lemma	enqueue_pending_event_key
22	state	lemma	enqueue_pending_event_waiting
23	state	lemma	enqueue_pending_event_member
24	environment_step	inductive	scheduler_environment_step
25	environment_step	lemma	environment_step_requires_open
26	environment_step	lemma	environment_step_requires_suspended_window
27	environment_step	lemma	protected_region_excludes_environment
28	environment_step	lemma	environment_step_frames_control
29	environment_step	lemma	environment_step_frames_task_domain
30	environment_step	lemma	environment_step_preserves_control_wf
31	environment_step	lemma	environment_step_preserves_phase_wf
32	environment_step	lemma	environment_step_preserves_state_wf
33	environment_step	lemma	environment_tick_is_missed_tick
34	environment_step	lemma	environment_yield_is_missed_yield
35	environment_step	lemma	environment_pending_step_preserves_generic_view
36	environment_step	lemma	environment_step_preserves_generic_view
37	environment_step	lemma	GenericSchedulerViewEq_preserves_TaskObservationRel
38	environment_step	lemma	environment_step_preserves_TaskObservationRel
39	environment_step	lemma	environment_step_preserves_AllocatedTaskObservationRel
40	environment_step	lemma	environment_step_preserves_task_domain_wf
41	environment_closure	inductive	scheduler_environment_steps
42	environment_closure	lemma	environment_steps_frames_control
43	environment_closure	lemma	environment_steps_frames_task_domain
44	environment_closure	lemma	environment_steps_preserve_generic_view
45	environment_closure	lemma	environment_steps_preserve_TaskObservationRel
46	environment_closure	lemma	environment_steps_preserve_AllocatedTaskObservationRel
47	environment_closure	lemma	environment_steps_preserve_task_domain_wf
48	environment_closure	lemma	environment_steps_trans
49	program_step	inductive	scheduler_program_step
50	program_step	lemma	program_step_frames_task_domain
51	program_step	lemma	enter_critical_establishes_protection
52	program_step	lemma	enter_critical_blocks_environment
53	program_step	lemma	program_step_preserves_control_wf
54	program_step	lemma	program_step_preserves_state_wf
55	program_step	lemma	resume_linearisation_is_ResumeRel
56	program_step	lemma	finish_resume_preserves_yield_result
57	program_step	lemma	suspend_linearisation_increments_symbolic_depth
58	interleaving	inductive	scheduler_interleaving
59	interleaving	lemma	scheduler_interleaving_trans
60	interleaving	lemma	scheduler_interleaving_preserves_control_wf
61	interleaving	lemma	scheduler_interleaving_frames_task_domain
62	interleaving	lemma	scheduler_interleaving_preserves_state_wf
63	cutpoint	definition	event_family_waiting_tasks
64	cutpoint	definition	EventSchedulerStateProjection
65	cutpoint	definition	GenericSchedulerStateProjection
66	cutpoint	lemma	GenericSchedulerViewEq_preserves_GenericSchedulerStateProjection
67	cutpoint	lemma	environment_step_preserves_GenericSchedulerStateProjection
68	cutpoint	lemma	environment_step_preserves_GenericRootFamilyCoverage
69	cutpoint	definition	ConcurrentCutpointInterface
70	cutpoint	lemma	ConcurrentCutpointInterface_coreD
71	cutpoint	lemma	ConcurrentCutpointInterface_observationD
72	cutpoint	lemma	ConcurrentCutpointInterface_domainD
73	cutpoint	lemma	ConcurrentCutpointInterface_allocated_observationD
74	cutpoint	lemma	ConcurrentCutpointInterface_event_coverageD
75	cutpoint	lemma	ConcurrentCutpointInterface_pendingD
76	cutpoint	lemma	ConcurrentCutpointInterface_event_waitingD
77	cutpoint	lemma	ConcurrentCutpointInterface_waiting_rootE
78	cutpoint	lemma	ConcurrentCutpointInterface_generic_coverageD
79	cutpoint	lemma	ConcurrentCutpointInterface_generic_projectionD
80	cutpoint	lemma	ConcurrentCutpointInterface_readyD
81	cutpoint	lemma	ConcurrentCutpointInterface_terminationD
82	cutpoint	lemma	ConcurrentCutpointInterface_state_wfD
